北京台,#genre#
通州电视台,rtmp://pull.dayuntongzhou.com:1935/live/tztv
房山电视台,http://live.funhillrm.com/5/sd/live.m3u8
房山有线,http://live.funhillrm.com/2/sd/live.m3u8
怀柔电视台,http://live.huairtv.com:1935/dvrLive/hrtvmb/playlist.m3u8
顺义,http://livesydst.sobeycache.com:80/sydst/zb02.m3u8?auth_key=1586009648-0-0-410d97d64a57a1ee9ebe555d14270bca
北京新闻,rtmp://ivi.bupt.edu.cn/livetv/btv9hd
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京文艺,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京文艺,http://by4.nty.tv189.cn/tm-btv2hd-512k.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京生活,http://by4.nty.tv189.cn/tm-btv7-512k.m3u8
北京生活,http://by4.nty.tv189.cn/tm-btv7-800k.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京影视,http://live.52live.win:80/live/adlive.php?id=BTV4HD&t=1570516206&sign=e9746c4ef96c79782d1841c5c880f6ab
北京影视,http://by4.nty.tv189.cn/tm-btv4-800k.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京财经,http://by4.nty.tv189.cn/tm-btv5-800k.m3u8
北京财经,http://by4.nty.tv189.cn/tm-btv5-512k.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京青年,http://by4.nty.tv189.cn/tm-btv8-512k.m3u8
北京青年,http://by4.nty.tv189.cn/tm-btv8-800k.m3u8
冬奥纪实,http://47.240.60.73/migu.php?id=641874369
冬奥纪实,http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=R5DC2A42FU309BB004K7738E848ICA43ED17PBM345713AV0Z57EA5W15D48CE92ED319F0&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&programid=4200000145
冬奥纪实,http://39.134.176.148/PLTV/88888888/224/3221226746/index.m3u8
冬奥纪实,rtmp://ivi.bupt.edu.cn:1935/livetv/btv11hd
北京国际,http://by4.nty.tv189.cn/tm-btvworld-800k.m3u8
通州广播,https://pull2push-1.tingtingfm.com:443/audio/beijing-fuzhongxin.m3u8?auth_key=1577019833-kwPxMQ9P-0-9035da281871bde2ffcf064824365c3e
香河影视,http://hbxh.chinashadt.com:2038/live/stream:xhys.stream/playlist.m3u8
香河综合,http://hbxh.chinashadt.com:2038/live/stream:xhzh.stream/playlist.m3u8


数字有线,#genre#
CCTV新科动漫,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000083.m3u8
MAX急速汽车,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000086.m3u8                                                    
CCTV高尔夫网球,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000088.m3u8
